date,transactions,price_sum,avg_price
2018-09-20,48399,1415.3458,0.029243
2018-09-21,47543,1419.2623,0.029852
2018-09-22,17635,530.4376,0.030079
2018-09-23,52230,1593.7831,0.030515
2018-09-24,45984,1407.6096,0.030611
2018-09-25,43857,1322.8798,0.030163
2018-09-26,48224,1434.2045,0.02974
2018-09-27,44261,1355.4983,0.030625
2018-09-28,66900,2040.2071,0.030496
2018-09-29,141700,4071.3813,0.028732
2018-09-30,38043,1165.0302,0.030624
2018-10-01,38677,1201.5782,0.031067
2018-10-02,39932,1254.0745,0.031405
2018-10-03,38387,1173.1745,0.030562
2018-10-04,38103,1188.8598,0.031201
2018-10-05,33485,1009.3239,0.030143
2018-10-06,37012,1089.7947,0.029444
2018-10-07,32647,1010.4374,0.03095
2018-10-08,28241,899.0806,0.031836
2018-10-09,38581,1234.891,0.032008
2018-10-10,63750,1890.0405,0.029648
2018-10-11,58802,1702.1712,0.028948
2018-10-12,53530,1517.4412,0.028347
2018-10-13,53008,1445.4383,0.027268
2018-10-14,36426,1103.067,0.030282
2018-10-15,33624,1061.7233,0.031576
2018-10-16,48481,1566.3839,0.032309
2018-10-17,59231,1621.2568,0.027372
2018-10-18,46586,1314.0368,0.028207
2018-10-19,39033,1118.8255,0.028664
2018-10-20,40517,1178.4868,0.029086
2018-10-21,37437,1065.6325,0.028465
2018-10-22,43546,1286.061,0.029533
2018-10-23,49740,1469.8397,0.02955
2018-10-24,64499,1841.5692,0.028552
2018-10-25,54487,1573.9033,0.028886
2018-10-26,55390,1615.2642,0.029162
2018-10-27,50649,1488.458,0.029388
2018-10-28,56271,1709.0214,0.030371
2018-10-29,45952,1383.4143,0.030106
2018-10-30,42392,1344.0749,0.031706
2018-10-31,38624,1227.4921,0.031781
2018-11-01,41119,1378.1485,0.033516
2018-11-02,36103,1183.8858,0.032792
2018-11-03,39899,1285.208,0.032212
2018-11-04,32709,1099.9754,0.033629
2018-11-05,30346,1017.4861,0.033529
2018-11-06,33798,1126.0867,0.033318
2018-11-07,35299,1190.7924,0.033734
2018-11-08,32002,1039.3256,0.032477
2018-11-09,35259,1130.9551,0.032076
2018-11-10,34598,1085.2014,0.031366
2018-11-11,44899,1381.8329,0.030776
2018-11-12,25777,851.4892,0.033033
2018-11-13,28740,939.8086,0.0327
2018-11-14,35108,1170.0966,0.033328
2018-11-15,38619,1215.8467,0.031483
2018-11-16,38361,1178.6358,0.030725
2018-11-17,38817,1204.4526,0.031029
2018-11-18,35871,1126.963,0.031417
2018-11-19,32984,1107.3145,0.033571
2018-11-20,40454,1312.936,0.032455
2018-11-21,43132,1272.4279,0.029501
2018-11-22,56174,1596.7907,0.028426
2018-11-23,142018,3891.9394,0.027405
2018-11-24,80235,2145.9553,0.026746
2018-11-25,59322,1596.1479,0.026907
2018-11-26,56913,1512.9443,0.026583
2018-11-27,30127,979.3971,0.032509
2018-11-28,29276,951.0722,0.032486
2018-11-29,32096,1041.0372,0.032435
2018-11-30,30564,986.8356,0.032288
2018-12-01,34101,1019.3578,0.029892
2018-12-02,26579,843.5171,0.031736
2018-12-03,27155,881.7208,0.03247
2018-12-04,31834,1027.0818,0.032264
2018-12-05,35693,1094.7698,0.030672
2018-12-06,37284,1110.2039,0.029777
2018-12-07,33316,985.9137,0.029593
2018-12-08,37420,1070.639,0.028611
2018-12-09,34622,1075.0479,0.031051
2018-12-10,30431,967.0019,0.031777
2018-12-11,31051,1001.0527,0.032239
2018-12-12,39436,1244.5814,0.03156
2018-12-13,33145,1050.1932,0.031685
2018-12-14,31201,959.1581,0.030741
2018-12-15,36258,1108.5164,0.030573
2018-12-16,32374,1021.5837,0.031556
2018-12-17,34947,1049.06,0.030019
2018-12-18,39247,1149.0446,0.029277
2018-12-19,46619,1302.5753,0.027941
2018-12-20,61022,1573.9807,0.025794
2018-12-21,56260,1384.491,0.024609
2018-12-22,58623,1427.0625,0.024343
2018-12-23,43155,1065.1885,0.024683
2018-12-24,38362,924.4655,0.024098
2018-12-25,14799,412.6921,0.027886
2018-12-26,24989,656.7592,0.026282
2018-12-27,52976,1355.3183,0.025584
2018-12-28,46132,1205.1967,0.026125
2018-12-29,42402,1096.8026,0.025867
2018-12-30,33491,866.5129,0.025873
2018-12-31,23903,603.0253,0.025228
2019-01-01,18145,512.1224,0.028224
2019-01-02,44252,1141.3896,0.025793
2019-01-03,47744,1224.3121,0.025643
2019-01-04,43545,1124.9399,0.025834
2019-01-05,44536,1144.3482,0.025695
2019-01-06,37885,1001.2752,0.026429
2019-01-07,34484,944.5013,0.02739
2019-01-08,49228,1365.7051,0.027742
2019-01-09,53309,1443.5342,0.027079
2019-01-10,53180,1407.7508,0.026471
2019-01-11,42656,1114.8777,0.026136
2019-01-12,44825,1164.6885,0.025983
2019-01-13,39612,1077.2539,0.027195
2019-01-14,35715,962.2329,0.026942
2019-01-15,35037,937.7502,0.026765
2019-01-16,46962,1268.9475,0.027021
2019-01-17,36013,954.6116,0.026507
2019-01-18,35741,948.3974,0.026535
2019-01-19,38720,1006.8851,0.026004
2019-01-20,34356,946.6046,0.027553
2019-01-21,34553,955.1485,0.027643
2019-01-22,36878,1003.4703,0.027211
2019-01-23,40120,1061.1814,0.02645
2019-01-24,42320,1097.529,0.025934
2019-01-25,46825,1180.5078,0.025211
2019-01-26,48158,1217.4197,0.02528
2019-01-27,40605,1079.4427,0.026584
2019-01-28,35705,950.2704,0.026614
2019-01-29,44990,1163.3467,0.025858
2019-01-30,39026,1019.9517,0.026135
2019-01-31,38346,1029.5849,0.02685
2019-02-01,41584,1094.2214,0.026314
2019-02-02,43901,1139.7231,0.025961
