date,products,gmv,return_rate,avg_rating
2024-08-06,1,36.8,0.0,3.9
2024-08-07,2,181.11,0.0,1.7
2024-08-08,1,124.26,0.0,4.0
2024-08-10,1,25.45,0.0,3.7
2024-08-12,3,297.75,0.6667,2.233
2024-08-15,1,89.36,0.0,1.1
2024-08-16,4,262.32,0.0,2.525
2024-08-17,1,20.77,0.0,2.0
2024-08-18,3,274.71,0.0,0.867
2024-08-19,2,89.97,0.0,2.8
2024-08-20,1,24.53,0.0,4.2
2024-08-21,2,211.52,0.0,1.25
2024-08-22,1,61.42,0.0,3.5
2024-08-23,1,43.48,0.0,4.7
2024-08-25,1,61.47,0.0,0.0
2024-08-26,1,17.49,1.0,4.5
2024-08-27,1,132.08,0.0,1.3
2024-08-28,3,275.27,0.3333,2.867
2024-08-29,3,268.47,0.0,1.633
2024-08-30,1,67.06,0.0,3.1
2024-09-01,2,115.76,0.0,2.2
2024-09-02,2,256.85,0.5,3.25
2024-09-03,1,83.17,0.0,3.2
2024-09-05,2,239.6,0.0,4.05
2024-09-06,5,339.58,0.2,2.84
2024-09-07,2,153.86,0.0,3.4
2024-09-08,2,188.29,0.0,3.1
2024-09-09,5,354.35,0.2,3.18
2024-09-10,3,338.38,0.0,2.5
2024-09-12,1,25.45,0.0,2.6
2024-09-13,5,465.77,0.0,2.72
2024-09-15,1,94.29,0.0,1.7
2024-09-17,3,117.93,0.0,2.367
2024-09-19,3,393.07,0.3333,0.7
2024-09-20,1,78.44,1.0,0.0
2024-09-21,3,306.36,0.3333,0.6
2024-09-22,1,54.84,0.0,3.2
2024-09-24,1,62.3,0.0,2.5
2024-09-25,3,231.51,0.0,1.667
2024-09-26,2,206.75,0.0,2.35
2024-09-27,3,409.09,0.3333,1.8
2024-09-28,5,478.18,0.2,2.16
2024-09-29,1,94.92,0.0,2.3
2024-09-30,1,34.36,0.0,3.1
2024-10-01,3,231.98,0.3333,2.3
2024-10-02,5,523.57,0.2,1.82
2024-10-03,3,213.54,0.3333,2.4
2024-10-04,3,225.99,0.0,1.167
2024-10-07,1,77.48,1.0,3.3
2024-10-08,3,128.46,0.0,3.733
2024-10-10,3,242.62,0.3333,1.167
2024-10-12,2,123.19,0.0,1.45
2024-10-14,2,239.28,1.0,4.0
2024-10-15,1,220.71,0.0,3.5
2024-10-16,4,390.0,0.0,1.8
2024-10-19,2,128.52,0.0,0.0
