article_id,prod_name,product_type_name,product_group_name,colour_group_name,index_group_name,section_name,garment_group_name,detail_desc
0108775015,Strap top,Vest top,Garment Upper body,Black,Ladieswear,Womens Everyday Basics,Jersey Basic,Jersey top with narrow shoulder straps.
0108775044,Strap top,Vest top,Garment Upper body,White,Ladieswear,Womens Everyday Basics,Jersey Basic,Jersey top with narrow shoulder straps.
0108775051,Strap top (1),Vest top,Garment Upper body,Off White,Ladieswear,Womens Everyday Basics,Jersey Basic,Jersey top with narrow shoulder straps.
0110065001,OP T-shirt (Idro),Bra,Underwear,Black,Ladieswear,Womens Lingerie,"Under-, Nightwear","Microfibre T-shirt bra with underwired, moulded, lightly padded cups that shape the bust and provide good support. Narrow adjustable shoulder straps and a narrow hook-and-eye fastening at the back. Without visible seams for greater comfort."
0110065002,OP T-shirt (Idro),Bra,Underwear,White,Ladieswear,Womens Lingerie,"Under-, Nightwear","Microfibre T-shirt bra with underwired, moulded, lightly padded cups that shape the bust and provide good support. Narrow adjustable shoulder straps and a narrow hook-and-eye fastening at the back. Without visible seams for greater comfort."
0110065011,OP T-shirt (Idro),Bra,Underwear,Light Beige,Ladieswear,Womens Lingerie,"Under-, Nightwear","Microfibre T-shirt bra with underwired, moulded, lightly padded cups that shape the bust and provide good support. Narrow adjustable shoulder straps and a narrow hook-and-eye fastening at the back. Without visible seams for greater comfort."
0111565001,20 den 1p Stockings,Underwear Tights,Socks & Tights,Black,Ladieswear,"Womens Nightwear, Socks & Tigh",Socks and Tights,"Semi shiny nylon stockings with a wide, reinforced trim at the top. Use with a suspender belt. 20 denier."
0111565003,20 den 1p Stockings,Socks,Socks & Tights,Beige,Ladieswear,"Womens Nightwear, Socks & Tigh",Socks and Tights,"Semi shiny nylon stockings with a wide, reinforced trim at the top. Use with a suspender belt. 20 denier."
0111586001,Shape Up 30 den 1p Tights,Leggings/Tights,Garment Lower body,Black,Ladieswear,"Womens Nightwear, Socks & Tigh",Socks and Tights,Tights with built-in support to lift the bottom. Black in 30 denier and light amber in 15 denier.
0111593001,Support 40 den 1p Tights,Underwear Tights,Socks & Tights,Black,Ladieswear,"Womens Nightwear, Socks & Tigh",Socks and Tights,"Semi shiny tights that shape the tummy, thighs and calves while also encouraging blood circulation in the legs. Elasticated waist."
0111609001,200 den 1p Tights,Underwear Tights,Socks & Tights,Black,Ladieswear,"Womens Nightwear, Socks & Tigh",Socks and Tights,Opaque matt tights. 200 denier.
0112679048,SWEATSHIRT  OC,Sweater,Garment Upper body,Grey,Baby/Children,Baby Essentials & Complements,Jersey Basic,Sweatshirt in soft organic cotton with a  press-stud on one shoulder (sizes 12-18 months and 18-24 months without a press-stud). Brushed inside.
0112679052,SWEATSHIRT  OC,Sweater,Garment Upper body,Light Blue,Baby/Children,Baby Essentials & Complements,Jersey Basic,Sweatshirt in soft organic cotton with a  press-stud on one shoulder (sizes 12-18 months and 18-24 months without a press-stud). Brushed inside.
0114428026,Alice BANDEAU 2-p,Bra,Underwear,White,Ladieswear,Womens Lingerie,"Under-, Nightwear",Two soft bandeau bras in soft jersey with side support and a silicone trim at the top.
0114428030,Alice BANDEAU 2-p,Bra,Underwear,Light Grey,Ladieswear,Womens Lingerie,"Under-, Nightwear",Two soft bandeau bras in soft jersey with side support and a silicone trim at the top.
0116379047,Frugan longsleeve,Top,Garment Upper body,Dark Blue,Ladieswear,Womens Everyday Basics,Jersey Basic,Fitted top in soft stretch jersey with a wide neckline and long sleeves.
0118458003,Jerry jogger bottoms,Trousers,Garment Lower body,Dark Grey,Menswear,Men Underwear,Jersey Basic,"Trousers in sweatshirt fabric with an elasticated drawstring waist, side pockets, a back pocket and ribbed hems. Soft brushed inside."
0118458004,Jerry jogger bottoms,Trousers,Garment Lower body,Grey,Menswear,Men Underwear,Jersey Basic,"Trousers in sweatshirt fabric with an elasticated drawstring waist, side pockets, a back pocket and ribbed hems. Soft brushed inside."
0118458028,Jerry jogger bottoms,Trousers,Garment Lower body,Black,Menswear,Men Underwear,Jersey Basic,"Trousers in sweatshirt fabric with an elasticated drawstring waist, side pockets, a back pocket and ribbed hems. Soft brushed inside."
0118458029,Jerry jogger bottoms,Trousers,Garment Lower body,Dark Grey,Menswear,Men Underwear,Jersey Basic,"Trousers in sweatshirt fabric with an elasticated drawstring waist, side pockets, a back pocket and ribbed hems. Soft brushed inside."
0118458034,Jerry jogger bottoms,Trousers,Garment Lower body,Pink,Menswear,Men Underwear,Jersey Basic,"Trousers in sweatshirt fabric with an elasticated drawstring waist, side pockets, a back pocket and ribbed hems. Soft brushed inside."
0118458038,Jerry jogger bottoms,Trousers,Garment Lower body,Black,Menswear,Men Underwear,Jersey Basic,"Trousers in sweatshirt fabric with an elasticated drawstring waist, side pockets, a back pocket and ribbed hems. Soft brushed inside."
0118458039,Jerry jogger bottoms,Trousers,Garment Lower body,Dark Blue,Menswear,Men Underwear,Jersey Basic,"Trousers in sweatshirt fabric with an elasticated drawstring waist, side pockets, a back pocket and ribbed hems. Soft brushed inside."
0120129001,Babette long,Leggings/Tights,Garment Lower body,Black,Ladieswear,Mama,Jersey Fancy,Leggings in soft jersey with a wide panel at the waist for best fit over the tummy. The cotton content of the leggings is organic.
0120129014,Babette long,Leggings/Tights,Garment Lower body,Black,Ladieswear,Mama,Jersey Fancy,Leggings in soft jersey with a wide panel at the waist for best fit over the tummy. The cotton content of the leggings is organic.
0120129018,Babette long,Leggings/Tights,Garment Lower body,Dark Red,Ladieswear,Mama,Jersey Fancy,Leggings in soft jersey with a wide panel at the waist for best fit over the tummy. The cotton content of the leggings is organic.
0120129025,Babette long,Leggings/Tights,Garment Lower body,Dark Grey,Ladieswear,Mama,Jersey Fancy,Leggings in soft jersey with a wide panel at the waist for best fit over the tummy. The cotton content of the leggings is organic.
0123173001,Control Top 50 den 1p Tights,Leggings/Tights,Garment Lower body,Black,Ladieswear,"Womens Nightwear, Socks & Tigh",Socks and Tights,50 denier tights with reinforcement at the top for a shaping effect on the tummy and thighs.
0126589006,2p Claw,Hair clip,Accessories,Black,Ladieswear,Womens Small accessories,Accessories,Plastic hair claws. Width 3.5 cm.
0126589007,2p Claw,Hair clip,Accessories,Greyish Beige,Ladieswear,Womens Small accessories,Accessories,Plastic hair claws. Width 3.5 cm.
