product_type_name,articles,share
Trousers,11169,0.105825
Dress,10362,0.098179
Sweater,9302,0.088136
T-shirt,7904,0.07489
Top,4155,0.039368
Blouse,3979,0.037701
Jacket,3940,0.037331
Shorts,3939,0.037322
Shirt,3405,0.032262
Vest top,2991,0.028339
Underwear bottom,2748,0.026037
Skirt,2696,0.025544
Hoodie,2356,0.022323
Bra,2212,0.020958
Socks,1889,0.017898
Leggings/Tights,1878,0.017794
Sneakers,1621,0.015359
Cardigan,1550,0.014686
Hat/beanie,1349,0.012782
Garment Set,1320,0.012507
Swimwear bottom,1307,0.012384
Bag,1280,0.012128
Earring,1159,0.010981
Jumpsuit/Playsuit,1147,0.010868
Pyjama set,1120,0.010612
Blazer,1110,0.010517
Other accessories,1034,0.009797
Boots,1028,0.00974
Scarf,1013,0.009598
Bodysuit,913,0.008651
Hair/alice band,854,0.008092
Bikini top,850,0.008054
Sandals,757,0.007173
Swimsuit,662,0.006272
Sunglasses,621,0.005884
Necklace,581,0.005505
Cap/peaked,573,0.005429
Underwear Tights,546,0.005173
Coat,460,0.004358
Belt,458,0.00434
Polo shirt,449,0.004254
Hat/brim,396,0.003752
Other shoe,395,0.003743
Pyjama jumpsuit/playsuit,388,0.003676
Ballerinas,372,0.003525
Gloves,367,0.003477
Dungarees,309,0.002928
Slippers,249,0.002359
Hair clip,244,0.002312
Ring,240,0.002274
Hair string,238,0.002255
Pyjama bottom,220,0.002084
Heeled sandals,202,0.001914
Swimwear set,192,0.001819
Pumps,188,0.001781
Bracelet,180,0.001705
Underwear body,174,0.001649
Night gown,171,0.00162
Flat shoe,165,0.001563
Outdoor Waistcoat,154,0.001459
Tie,141,0.001336
Robe,136,0.001289
Outdoor trousers,130,0.001232
Flip flop,125,0.001184
Unknown,121,0.001146
Wedge,113,0.001071
Kids Underwear top,96,0.00091
Costumes,90,0.000853
Wallet,77,0.00073
Tailored Waistcoat,73,0.000692
Watch,73,0.000692
Sarong,66,0.000625
Outdoor overall,64,0.000606
Beanie,56,0.000531
Swimwear top,50,0.000474
Sleeping sack,48,0.000455
Underwear set,47,0.000445
Fine cosmetics,46,0.000436
Soft Toys,46,0.000436
Bootie,31,0.000294
Long John,30,0.000284
Umbrella,29,0.000275
Hair ties,24,0.000227
Waterbottle,22,0.000208
Heels,22,0.000208
Underdress,20,0.000189
Dog Wear,20,0.000189
Nipple covers,19,0.00018
Giftbox,15,0.000142
Cap,13,0.000123
Side table,13,0.000123
Earrings,11,0.000104
Felt hat,10,9.5e-05
Flat shoes,10,9.5e-05
Weekend/Gym bag,9,8.5e-05
Underwear corset,7,6.6e-05
Leg warmers,7,6.6e-05
Bucket hat,7,6.6e-05
Accessories set,7,6.6e-05
Dog wear,7,6.6e-05
Sleep Bag,6,5.7e-05
Alice band,6,5.7e-05
Straw hat,6,5.7e-05
Backpack,6,5.7e-05
Cross-body bag,5,4.7e-05
Marker pen,5,4.7e-05
Moccasins,4,3.8e-05
Mobile case,4,3.8e-05
Braces,3,2.8e-05
Chem. cosmetics,3,2.8e-05
Baby Bib,3,2.8e-05
Zipper head,3,2.8e-05
Hairband,2,1.9e-05
Tote bag,2,1.9e-05
Shoulder bag,2,1.9e-05
Toy,2,1.9e-05
Eyeglasses,2,1.9e-05
Wireless earphone case,2,1.9e-05
Stain remover spray,2,1.9e-05
Bra extender,1,9e-06
Blanket,1,9e-06
Cushion,1,9e-06
Headband,1,9e-06
Keychain,1,9e-06
Washing bag,1,9e-06
Sewing kit,1,9e-06
Towel,1,9e-06
Wood balls,1,9e-06
Pre-walkers,1,9e-06
Bumbag,1,9e-06
Clothing mist,1,9e-06
