article_id,prod_name,product_type_name,product_group_name,colour_group_name,index_group_name,section_name,garment_group_name,detail_desc
0156231001,Box 4p Tights,Underwear Tights,Socks & Tights,Black,Ladieswear,"Womens Nightwear, Socks & Tigh",Socks and Tights,Matt tights with an elasticated waist. 20 denier.
0156231002,Box 4p Tights,Leggings/Tights,Garment Lower body,Beige,Ladieswear,"Womens Nightwear, Socks & Tigh",Socks and Tights,Matt tights with an elasticated waist. 20 denier.
0176550020,Sleep bag padded,Sleep Bag,Underwear/nightwear,Dark Blue,Baby/Children,Baby Essentials & Complements,"Under-, Nightwear","Lightly padded sleep bag in soft, patterned jersey with a jersey lining. The sleep bag is designed for indoor use only."
0179208001,Control Top 100 den 1p Tights,Leggings/Tights,Garment Lower body,Black,Ladieswear,"Womens Nightwear, Socks & Tigh",Socks and Tights,Matt opaque tights with a control top to hold in the tummy and bum. 100 denier.
0186262006,4p Claw,Hair clip,Accessories,Greyish Beige,Ladieswear,Womens Small accessories,Accessories,Plastic hair claws. Width 2.5 cm.
0186264014,10p Terry w.o. Clip,Hair string,Accessories,Black,Ladieswear,Womens Small accessories,Accessories,Hair elastics without metal clips.
0188183009,SPANX ALOT swimsuit (1),Swimsuit,Swimwear,White,Ladieswear,"Womens Swimwear, beachwear",Swimwear,"Fully lined shaping swimsuit that has a sculpting effect on the tummy, back and bum. Wrapover top, lightly padded cups, support panels, decorative gathers in the sides, and adjustable shoulder straps."
0211143022,Janet SL (W),Pyjama set,Nightwear,Blue,Ladieswear,"Womens Nightwear, Socks & Tigh","Under-, Nightwear","Pyjamas in a soft cotton weave. Long-sleeved shirt with notch lapels, buttons down the front, a chest pocket and buttoned cuffs. Short shorts with an elasticated drawstring waist."
0211143037,Janet SL-set (W),Pyjama set,Nightwear,Blue,Ladieswear,"Womens Nightwear, Socks & Tigh","Under-, Nightwear","Pyjamas in a soft cotton weave. Long-sleeved shirt with notch lapels, buttons down the front, a chest pocket and buttoned cuffs. Short shorts with an elasticated drawstring waist."
0212042043,Mimmi sneaker,Sneakers,Shoes,Black,Divided,Divided Accessories,Shoes,Cotton trainers with closed lacing and a loop at the back. Fabric linings and insoles and rubber soles.
0212629040,Alcazar strap dress,Dress,Garment Full body,Dark Red,Divided,Divided Basics,Jersey Basic,"Long, sleeveless dress in jersey with narrow shoulder straps and an elasticated seam at the waist. Unlined."
0214844001,30p pins,Hair clip,Accessories,Black,Ladieswear,Womens Small accessories,Accessories,Metal hair grips. Length 5 cm.
0220094001,Aguilera maxidress,Dress,Garment Full body,Black,Ladieswear,Womens Everyday Basics,Jersey Basic,Strapless maxi dress in jersey with an elasticated seam at the waist and slits in the sides. Integral top with elastication at the top.
0225784001,HARLEY 2-pack basic tee,T-shirt,Garment Upper body,Black,Baby/Children,Girls Underwear & Basics,Jersey Basic,Short-sleeved tops in cotton jersey.
0244267029,Silver lake,Sweater,Garment Upper body,Light Pink,Ladieswear,Womens Everyday Collection,Knitwear,Purl-knit jumper in a cotton blend with a slightly wider neckline and 3/4-length sleeves.
0244267032,Silver lake,Sweater,Garment Upper body,Black,Ladieswear,Womens Everyday Collection,Knitwear,Purl-knit jumper in a cotton blend with a slightly wider neckline and 3/4-length sleeves.
0255396006,Nora Cardigan,Cardigan,Garment Upper body,Grey,Divided,Divided Selected,Jersey Fancy,"Cardigan in sweatshirt fabric with a lined hood, diagonal zip at the front and side pockets. Ribbed cuffs and a raw-edge hem."
0272591016,Lena Rib Dress (1),Dress,Garment Full body,Grey,Divided,Divided Basics,Jersey Basic,"Fitted, sleeveless dress in ribbed jersey."
0294008002,HM+ Cora tee,Costumes,Garment Full body,Black,Ladieswear,H&M+,Jersey Fancy,Gently flared top in soft viscose jersey with short sleeves and a rounded hem.
0297067002,Small dot 1p Tights,Leggings/Tights,Garment Lower body,Black,Ladieswear,"Womens Nightwear, Socks & Tigh",Socks and Tights,Flock-print tights with an elasticated waist.
0297078001,Heavy Chain 1p Tights,Underwear Tights,Socks & Tights,Black,Ladieswear,"Womens Nightwear, Socks & Tigh",Socks and Tights,Textured-knit tights with an elasticated waist.
0299733008,Hilton,Dress,Garment Full body,Other,Ladieswear,Womens Everyday Basics,Jersey Basic,Strapless jersey dress with an elasticated waist. Inner top with elastication at the top.
0309864002,Skinny Cheapo 89,Trousers,Garment Lower body,Black,Baby/Children,Young Boy,Trousers Denim,"Slim-fit jeans in washed stretch denim with an adjustable elasticated waist (in sizes 8-12Y), zip fly and button, front and back pockets, and narrow hems."
0316657008,Karenina Jacket,Jacket,Garment Upper body,Grey,Divided,Divided Selected,Outdoor,"Biker jacket in imitation leather with a diagonal zip at the front, side pockets and ribbed jersey sections under the arms. Lined."
0325542015,Nina Nightshirt (W),Robe,Underwear,White,Ladieswear,"Womens Nightwear, Socks & Tigh","Under-, Nightwear","Long nightshirt in soft cotton flannel with notch lapels, a chest pocket, buttons down the front, buttoned cuffs, and a rounded hem. Slightly longer at the back."
0338016001,NEW Basic Rollerbuckle,Belt,Accessories,Black,Menswear,Men Accessories,Accessories,Leather belt with an antiqued metal buckle. Width approx. 3.5 cm.
0342034003,Indiana Solid Scarf,Scarf,Accessories,Black,Ladieswear,Womens Big accessories,Accessories,"Scarf in a soft, loose weave with fringes on the short sides. Size 100x200 cm."
0351484013,LAZER RAZER brief (1),Swimwear bottom,Swimwear,White,Ladieswear,"Womens Swimwear, beachwear",Swimwear,"Fully lined bikini bottoms with a mid waist, medium coverage at the back and laser-cut, scalloped edges."
0354246011,Basic LS Raglan t-shirt,T-shirt,Garment Upper body,Dark Grey,Baby/Children,Baby Essentials & Complements,Jersey Basic,T-shirt in organic cotton jersey with long raglan sleeves in a contrasting colour and press-studs at the back of the neck.
0358483006,Stressan light knit jumper,Sweater,Garment Upper body,Beige,Divided,Divided Selected,Knitwear,"Jumper in a light, fine, soft knit with long sleeves, raw edges and a rounded hem. Slightly longer at the back."
0372576011,Robin 7pk Basic,Underwear bottom,Underwear,Grey,Menswear,Men Underwear,"Under-, Nightwear","Trunks in stretch organic cotton jersey with flatlock seams, an elasticated waist, lined front and short legs."
0377277001,Svea Cropped Tank,Vest top,Garment Upper body,Black,Divided,Divided Basics,Jersey Basic,"Short, fitted jersey top with narrow shoulder straps."
0378124009,L/S Polo Gnocci TVP,Polo shirt,Garment Upper body,Dark Blue,Menswear,Men Suits & Tailoring,Knitwear,"Long-sleeved piqué top in fine-knit merino wool with a ribbed collar, button placket and ribbing at the cuffs and hem."
0378135036,R-Neck Pisa TVP R,Sweater,Garment Upper body,Dark Grey,Menswear,Men Suits & Tailoring,Knitwear,"Jumper in soft, fine-knit merino wool with a round neck, long sleeves and ribbing at the cuffs and hem."
0393447015,Leia Parka,Jacket,Garment Upper body,Black,Divided,Divided Collection,Outdoor,"Long, padded parka in cotton twill with a drawstring hood and stand-up collar with a press-stud. Zip and button band with press-studs down the front, flap side pockets with a press stud, and a drawstring at the waist. Elasticated cuffs and a gently rounded hem. Slightly longer at the back. Lined."
0397068015,Skinny L.W Bargain (1),Trousers,Garment Lower body,Black,Menswear,Denim Men,Trousers Denim,5-pocket low-rise jeans in washed stretch denim with a button fly and skinny legs.
0399087010,Super Skinny L.W Epic,Trousers,Garment Lower body,Blue,Divided,Ladies Denim,Trousers Denim,"5-pocket, low-rise jeans in washed, superstretch denim with a zip fly and button, and super-skinny legs."
0399136009,Shaping Skinny R.W.,Trousers,Garment Lower body,Black,Divided,Ladies Denim,Trousers Denim,"Shaping. 5-pocket jeans in washed denim with technical stretch that holds in and shapes the tummy, thighs and seat while keeping the jeans in shape. Regular waist and skinny legs."
0399136023,Skinny Shaping R.W,Trousers,Garment Lower body,Light Blue,Divided,Ladies Denim,Trousers Denim,"Shaping. 5-pocket jeans in washed denim with technical stretch that holds in and shapes the tummy, thighs and seat while keeping the jeans in shape. Regular waist and skinny legs."
0399136027,Shaping Skinny R.W.,Trousers,Garment Lower body,Dark Blue,Divided,Ladies Denim,Trousers Denim,"Shaping. 5-pocket jeans in washed denim with technical stretch that holds in and shapes the tummy, thighs and seat while keeping the jeans in shape. Regular waist and skinny legs."
0399136061,Shaping Skinny R.W.,Trousers,Garment Lower body,Dark Blue,Divided,Ladies Denim,Trousers Denim,"Shaping. 5-pocket jeans in washed denim with technical stretch that holds in and shapes the tummy, thighs and seat while keeping the jeans in shape. Regular waist and skinny legs."
