category,scope,orders,units,products,sellers,customers,revenue,avg_item_price,freight_value,freight_ratio,avg_review_score,review_count,on_time_rate,late_delivery_rate,cancelled_line_rate,latest_order
health_beauty,other,8836,9670,2444,492,8836,1258681.34,130.16,182566.73,0.145046,4.142,9588,0.909456,0.090544,0.003723,2018-08-29 14:18:28
watches_gifts,other,5624,5991,1329,101,5624,1205005.68,201.14,100535.93,0.083432,4.019,5940,0.91688,0.08312,0.003505,2018-08-29 09:48:09
bed_bath_table,other,9417,11115,3029,196,9417,1036988.68,93.30,204693.04,0.197392,3.898,10982,0.916005,0.083995,0.001619,2018-08-28 21:56:30
sports_leisure,other,7720,8641,2867,481,7720,988048.97,114.34,168607.51,0.170647,4.107,8581,0.92575,0.07425,0.005902,2018-08-29 10:22:35
computers_accessories,other,6689,7827,1639,287,6689,911954.32,116.51,147318.08,0.161541,3.933,7782,0.922161,0.077839,0.005877,2018-08-29 15:00:37
furniture_decor,other,6449,8334,2657,370,6449,729762.49,87.56,172749.30,0.23672,3.907,8250,0.915686,0.084314,0.00432,2018-08-28 21:56:12
cool_stuff,other,3632,3796,789,267,3632,635290.85,167.36,84039.10,0.132284,4.147,3762,0.932491,0.067509,0.004478,2018-08-28 19:44:25
housewares,other,5884,6964,2335,468,5884,632248.66,90.79,146149.11,0.231158,4.055,6918,0.935099,0.064901,0.007036,2018-08-28 19:32:05
auto,other,3897,4235,1900,383,3897,592720.11,139.96,92664.21,0.156337,4.065,4192,0.916908,0.083092,0.00732,2018-08-28 18:49:20
garden_tools,other,3518,4347,753,237,3518,485256.46,111.63,98962.75,0.203939,4.046,4315,0.920337,0.079663,0.004371,2018-08-27 12:39:11
toys,other,3886,4117,1411,252,3886,483946.60,117.55,77425.95,0.159989,4.16,4083,0.925558,0.074442,0.008258,2018-08-29 12:25:59
baby,other,2885,3065,919,244,2885,411764.89,134.34,68353.11,0.166,4.011,3040,0.91214,0.08786,0.007178,2018-08-28 15:58:28
perfumery,other,3162,3419,868,175,3162,399124.87,116.74,54213.84,0.135832,4.166,3405,0.926647,0.073353,0.004972,2018-08-27 14:39:21
telephony,other,4199,4545,1134,149,4199,323667.53,71.21,71215.79,0.220028,3.946,4512,0.916704,0.083296,0.00396,2018-08-28 13:28:34
office_furniture,other,1273,1691,309,34,1273,273960.70,162.01,68571.95,0.250298,3.489,1677,0.910671,0.089329,0.000591,2018-08-28 20:49:17
stationery,other,2311,2517,849,173,2311,230943.23,91.75,46798.48,0.202641,4.195,2499,0.919708,0.080292,0.004768,2018-08-27 20:31:22
computers,other,181,203,30,9,181,222963.13,1098.34,9836.30,0.044116,4.175,200,0.934673,0.065327,0.0,2018-08-22 16:21:33
pet_shop,other,1710,1947,719,137,1710,214315.41,110.07,39561.24,0.184594,4.184,1937,0.938669,0.061331,0.002568,2018-08-26 19:04:05
musical_instruments,other,628,680,289,70,628,191498.88,281.62,18638.49,0.097329,4.151,674,0.913978,0.086022,0.016176,2018-08-22 19:54:03
small_appliances,other,630,679,231,105,630,190648.58,280.78,16020.25,0.08403,4.149,673,0.940729,0.059271,0.011782,2018-08-22 02:28:35
unclassified,other,1451,1603,610,257,1451,179535.28,112.00,28169.81,0.156904,3.84,1589,0.906311,0.093689,0.008734,2018-08-27 18:50:06
electronics,other,2550,2767,517,149,2550,160246.74,57.91,46578.32,0.290666,4.037,2748,0.902528,0.097472,0.004337,2018-08-26 20:58:26
