date,orders,units,revenue,freight_value,avg_review_score,on_time_rate
2016-09-04,1,2,72.89,63.34,1.0,0
2016-09-05,1,1,59.50,15.56,1.0,0
2016-09-15,1,3,134.97,8.49,1.0,0.0
2016-10-02,1,1,100.00,9.34,1.0,0
2016-10-03,8,8,463.48,131.66,3.0,1.0
2016-10-04,60,69,9940.96,1354.52,3.754,0.968254
2016-10-05,42,56,8343.25,1302.69,3.574,1.0
2016-10-06,49,58,7960.51,1170.72,3.431,1.0
2016-10-07,45,52,7228.05,907.92,3.388,1.0
2016-10-08,40,45,8441.85,941.52,3.956,1.0
2016-10-09,26,34,3336.99,681.99,3.235,1.0
2016-10-10,37,40,3692.57,800.82,3.949,0.972973
2016-12-23,1,1,10.90,8.72,5.0,1.0
2017-01-05,32,32,396.90,310.37,4.906,1.0
2017-01-06,4,4,916.38,71.90,4.75,1.0
2017-01-07,4,5,1351.90,96.09,2.6,0.8
2017-01-08,6,6,709.58,100.05,3.333,1.0
2017-01-09,5,6,673.79,100.72,3.0,0.5
2017-01-10,6,6,1434.87,136.30,3.5,1.0
2017-01-11,12,12,2776.16,286.17,3.833,1.0
2017-01-12,13,15,2234.58,268.11,3.733,0.857143
2017-01-13,11,11,2505.58,275.14,4.3,1.0
2017-01-14,18,18,1112.69,386.88,3.588,0.9375
2017-01-15,14,21,2199.57,351.77,4.143,1.0
2017-01-16,19,24,3307.92,400.48,4.227,1.0
2017-01-17,32,37,3302.53,591.08,4.284,1.0
2017-01-18,33,35,4032.36,651.02,3.812,0.96875
2017-01-19,29,35,3553.95,586.21,4.2,0.971429
2017-01-20,28,39,4035.83,620.22,4.462,1.0
2017-01-21,24,36,2458.60,636.17,3.417,1.0
2017-01-22,30,33,3619.27,522.60,4.091,1.0
2017-01-23,39,54,6581.47,972.42,3.407,0.941176
2017-01-24,40,44,5955.17,828.36,4.341,1.0
2017-01-25,62,69,8977.23,1362.98,3.754,0.984127
2017-01-26,85,100,13157.66,1953.97,4.26,0.948454
2017-01-27,61,76,11432.95,1323.20,4.105,1.0
2017-01-28,29,30,5211.01,672.00,4.033,1.0
2017-01-29,35,47,6457.66,703.00,4.298,0.954545
2017-01-30,51,75,10801.13,1097.00,4.151,1.0
2017-01-31,67,85,11116.13,1571.41,4.096,0.925
2017-02-01,67,70,8219.75,1350.74,4.029,0.984375
2017-02-02,68,75,8917.64,1557.66,4.36,0.959459
2017-02-03,57,62,10183.74,1242.25,3.984,0.965517
2017-02-04,66,72,13968.16,1749.05,4.042,0.957143
2017-02-05,75,83,8503.79,1649.45,4.11,0.987805
2017-02-06,81,88,9539.44,1545.36,4.126,0.964286
2017-02-07,111,127,14143.48,2380.73,4.26,0.98374
2017-02-08,90,99,11958.27,2068.67,4.283,0.98913
2017-02-09,77,82,9190.29,1653.88,4.037,0.948718
2017-02-10,66,74,14222.64,1445.36,4.203,0.971429
2017-02-11,45,51,4307.56,925.59,4.353,0.960784
2017-02-12,63,66,15126.15,1520.18,4.2,0.984375
2017-02-13,76,88,10785.15,2100.72,3.795,0.988372
2017-02-14,71,80,12694.11,1648.89,4.025,0.973333
2017-02-15,60,63,6770.15,1261.37,4.097,1.0
2017-02-16,52,57,6348.04,1107.24,4.158,0.981481
2017-02-17,45,56,6801.26,1257.95,3.857,0.964286
