class_name,records,avg_rating,recommended_rate,low_rating_rate
Trend,119,3.815,0.7395,0.1849
Blouses,3097,4.154,0.8101,0.1124
Outerwear,328,4.198,0.8171,0.1098
Sleep,228,4.285,0.8553,0.1096
Dresses,6319,4.151,0.8082,0.109
Swim,350,4.197,0.8057,0.1086
Sweaters,1428,4.179,0.8004,0.1085
Knits,4843,4.162,0.8177,0.1045
Jackets,704,4.295,0.8452,0.1037
Intimates,154,4.279,0.8571,0.0974
Legwear,165,4.279,0.8606,0.097
Fine gauge,1100,4.261,0.8373,0.0955
Skirts,945,4.246,0.8455,0.0899
Pants,1388,4.266,0.8329,0.0893
Shorts,317,4.256,0.8391,0.082
Layering,146,4.377,0.8836,0.0753
Jeans,1147,4.361,0.8814,0.0741
Lounge,691,4.301,0.8596,0.0695
unknown,14,5.0,1.0,0.0
Casual bottoms,2,4.5,1.0,0.0
Chemises,1,4.0,1.0,0.0
